Smiles,Standard Value
C#Cc1cccc(Nc2ncnc3ccc(OCCCCNCCS(C)(=O)=O)cc23)c1,11
CS(=O)(=O)CCNCCCCOc1ccc2ncnc(Nc3ccc(S(=O)(=O)c4ccccc4)cc3)c2c1,93
CS(=O)(=O)CCNCCCCOc1ccc2ncnc(Nc3ccc(OCc4ccccc4)cc3)c2c1,74
C=CC(=O)Nc1ccc2ncnc(Nc3ccc(F)c(Cl)c3)c2c1,0.75
C[C@@H](NC(=O)[C@@H](C)NC(=O)c1ccc(S(=O)(=O)Oc2ccc(/C=C/[N+](=O)[O-])cc2)cc1)C(=O)O,7000
Cn1c(SSc2c(C(=O)NCc3ccccc3)c3ccccc3n2C)c(C(=O)NCc2ccccc2)c2ccccc21,1700
CNc1ncnc2c1c(-c1ccccc1)cn2-c1ccccc1,31000
CCOc1cc2ncnc(Nc3cccc(-c4cscn4)c3)c2cc1OCC,18
COc1cccc(Nc2ncnc3ccccc23)c1,842
Fc1ccc2c(Nc3cccc(Br)c3)ncnc2n1,691.83
Nc1cc(Br)ccc1Nc1ncnc2ccncc12,25.7
Nc1c(Nc2ncnc3ccncc23)cccc1[N+](=O)[O-],40.74
Brc1cccc(Nc2ncnc3cc4[nH]cc(CN5CCOCC5)c4cc23)c1,4.8
COc1cc2ncnc(N(C)c3cccc(Br)c3)c2cc1OC,152
Cc1[nH]c2ncnc(NC3CCCCC3)c2c1C,6920
CCOC(=O)c1cn2ncnc(Nc3ccc(Oc4ccccc4)cc3)c2c1CC,610
COc1ccc(CCCCCn2cc(CCN)c3cc(OCCc4ccc(O)cc4)ccc32)cc1.Cl,4400
C=CC(=O)Nc1cc2c(Nc3ccc(F)c(Br)c3)ncnc2cc1OCCCN1CCOCC1,1.8
COc1cc(/C=C(\C#N)C(N)=O)cc(CSc2ccccc2NC(C)=O)c1O,22000
Cc1cc(C=C(C#N)C#N)cc(O)c1O,5600
COc1cc2ncnc(Nc3ccc(OCc4cccc(F)c4)c(Cl)c3)c2cc1OCCCCCn1ccnc1[N+](=O)[O-],51.2
COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCCn1c([N+](=O)[O-])cnc1C,0.53
COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1,0.45
Nc1ccccc1Nc1ncnc2ccncc12,251.19
COc1cc2ncnc(Nc3ccccc3)c2cc1OC,29.51
Brc1cccc(Nc2ncnc3ccccc23)c1,27.54
Clc1cccc(Nc2ncnc3ccccc23)c1,23.44
CCOC(=O)C1=C(N)N(c2cccnc2)C2=C(C(=O)CCC2)C1c1cc2cc(Cl)ccc2n2nnnc12,16700
CCOC(=O)C1=C(N)N(c2cccnc2)C2=C(C(=O)CCC2)C1c1cc2cc(OC)ccc2n2nnnc12,200
C=CC(=O)Nc1cccc(N2C(=O)N(C)Cc3cnc(Nc4ccc(N5CCOCC5)cc4OC)nc32)c1,16.4
C=CC(=O)Nc1cccc(N2C(=O)N(C)Cc3cnc(Nc4ccc(N5CCN(C)CC5)c(OC)c4)nc32)c1,0.41
C=CC(=O)Nc1cccc(N2C(=O)N(C)Cc3cnc(Nc4ccc(N(C)C)cc4OC)nc32)c1,24.9
C=CC(=O)Nc1cccc(N2C(=O)N(c3ccccc3)Cc3cnc(Nc4ccc(N5CCN(C)CC5)cc4OC)nc32)c1,0.46
CN(C)c1ccc2c(Nc3cccc(Br)c3)ncnc2n1,324
COc1cc2ncnc(NNc3ccc(F)c(Cl)c3)c2cc1OC,430
